Actual,Predicted,Confidence_normalized
0,0,0.299697933
0,4,1
0,5,0.432652726
0,6,0.443227392
0,7,0.455102805
0,3,0.444684024
0,2,0.403101826
4,0,0.406487648
4,4,0
4,5,0.284477277
4,6,0.280719094
4,7,0.274893436
4,3,0.496643319
4,2,0.293679153
5,0,0.433716002
5,4,0.998369998
5,5,0.207986847
5,6,0.416305338
5,7,0.460646308
5,3,0.540239246
5,2,0.45308161
6,0,0.434879403
6,4,0.445326549
6,5,0.390645314
6,6,0.340528373
6,7,0.383087459
6,3,0.427022749
6,2,0.383897373
7,0,0.402489556
7,4,0.816825521
7,5,0.368983821
7,6,0.361731407
7,7,0.351746564
7,3,0.554670263
7,2,0.390133064
3,0,0.43355172
3,4,0.74111397
3,5,0.539503192
3,6,0.419981066
3,7,0.42367371
3,3,0.03655673
3,2,0.378642669
2,0,0.40272688
2,4,0.575995781
2,5,0.390469475
2,6,0.354191033
2,7,0.345439347
2,3,0.441281112
2,2,0.278624636
