Actual,Predicted,Confidence_normalized
0,0,0.91198209276272102,
0,1,0.0077302262045740944,
0,2,0.03615994455938059,
0,3,0.029360000646310308,
0,4,0.005914453211335143,
0,5,3.6483864158022061e-07,
0,6,0.0087721006761341275,
0,7,8.0818536123535484e-05,
1,0,0.43003709748750424,
1,1,0.50650413102563752,
1,2,0.010573144260419115,
1,3,3.8140715586186304e-07,
1,4,1.6459723279490767e-07,
1,5,5.7437678665906779e-07,
1,6,0.052228386621377819,
1,7,0.0006561229852089424,
2,0,0.59333201699999993,
2,1,1.1922666666840036e-09,
2,2,0.40398995600666665,
2,3,9.1336758339684996e-09,
2,4,6.1533333475516954e-07,
2,5,1.9346099066666673e-09,
2,6,2.3500000696159836e-07,
2,7,0.0026771634782533998,
3,0,0.10261598016696556,
3,1,0.083577438164286172,
3,2,0.0066559326595120472,
3,3,0.77456624995095236,
3,4,0.00053651401111349552,
3,5,2.5838810079841564e-05,
3,6,0.027239993185873848,
3,7,0.0047820526001952617,
4,0,0.42230655868888889,
4,1,2.2112234380123178e-06,
4,2,0.090644937752781859,
4,3,3.0462111167612452e-08,
4,4,0.096841737222222224,
4,5,0.20815630691910508,
4,6,0.18129800815201527,
4,7,0.00075021602511240017,
5,0,0.00075926168977166416,
5,1,9.5879855039285395e-05,
5,2,0.001217040768870953,
5,3,0.00057354872501025962,
5,4,3.4432880135887489e-07,
5,5,0.91516353008333329,
5,6,0.041705396431451804,
5,7,0.040485003090655135,
6,0,0.49986023287440301,
6,1,0.2015880478466951,
6,2,0.00013988758853105543,
6,3,4.2707220853960002e-11,
6,4,6.0518560166017e-10,
6,5,5.4202100912281705e-11,
6,6,0.29841182779856579,
6,7,2.1474912302759722e-09,
7,0,0.10955740190354224,
7,1,0.0344178986902057,
7,2,0.021711266702719698,
7,3,1.4173689193393909e-08,
7,4,0.024307453709982649,
7,5,3.5602406537495211e-09,
7,6,0.027812665189238174,
7,7,0.78219329451724584
