Actual,Predicted,Confidence_normalized
0,0,0.183105099
0,4,0.017431651
0,5,0.158911135
0,6,0.20538013
0,7,0.178157311
0,3,0.085761962
0,2,0.171252712
4,0,0.160418067
4,4,0.03684754
4,5,0.172278055
4,6,0.219819529
4,7,0.157364071
4,3,0.089520808
4,2,0.16375193
5,0,0.14422125
5,4,0.018493354
5,5,0.17964109
5,6,0.182829113
5,7,0.168619831
5,3,0.133870709
5,2,0.172324653
6,0,0.120274108
6,4,0.015378558
6,5,0.111861856
6,6,0.414407013
6,7,0.133948819
6,3,0.059885414
6,2,0.144244233
7,0,0.157610981
7,4,0.015357634
7,5,0.146957469
7,6,0.190702006
7,7,0.219340444
7,3,0.070863292
7,2,0.199168173
3,0,0.10148166
3,4,0.013419053
3,5,0.16806834
3,6,0.128907598
3,7,0.117964477
3,3,0.330852369
3,2,0.139306504
2,0,0.13321866
2,4,0.014769098
2,5,0.138742113
2,6,0.194824492
2,7,0.183197959
2,3,0.084660844
2,2,0.250586835
