Actual,Predicted,Confidence_normalized
0,0,0.66342105263157902
0,1,0.055701754385964933
0,2,0.033596491228070159
0,3,0.062587719298245609
0,4,0.02333333333333331
0,5,0.058377192982456153
0,6,0.038552631578947359
0,7,0.064429824561403462
1,0,0.578125
1,1,0.088125000000000023
1,2,0.031875000000000001
1,3,0.089999999999999997
1,4,0.017500000000000002
1,5,0.077187500000000006
1,6,0.039375000000000014
1,7,0.077812499999999993
2,0,0.70916666666666661
2,1,0.036666666666666667
2,2,0.029999999999999999
2,3,0.055833333333333339
2,4,0.018333333333333333
2,5,0.058333333333333341
2,6,0.026666666666666661
2,7,0.065000000000000016
3,0,0.44095238095238093
3,1,0.073095238095238102
3,2,0.034047619047619063
3,3,0.15785714285714289
3,4,0.030238095238095244
3,5,0.11809523809523811
3,6,0.048809523809523817
3,7,0.096904761904761938
4,0,0.53388888888888886
4,1,0.052222222222222225
4,2,0.041666666666666671
4,3,0.069444444444444448
4,4,0.053333333333333323
4,5,0.098888888888888887
4,6,0.055555555555555552
4,7,0.095000000000000001
5,0,0.38499999999999995
5,1,0.073749999999999996
5,2,0.030416666666666679
5,3,0.11520833333333336
5,4,0.033541666666666678
5,5,0.22708333333333339
5,6,0.04083333333333334
5,7,0.094166666666666662
6,0,0.60850000000000004
6,1,0.069500000000000006
6,2,0.030500000000000006
6,3,0.074500000000000011
6,4,0.018499999999999999
6,5,0.059499999999999997
6,6,0.056500000000000009
6,7,0.082500000000000004
7,0,0.38293103448275861
7,1,0.074827586206896543
7,2,0.026206896551724153
7,3,0.089999999999999997
7,4,0.035689655172413799
7,5,0.083965517241379309
7,6,0.057758620689655177
7,7,0.24862068965517242
