Actual,Predicted,Confidence_normalized
0,0,0.197878651
0,4,0.015392044
0,5,0.138304572
0,6,0.220658299
0,7,0.168507811
0,3,0.093717936
0,2,0.165540687
4,0,0.117714571
4,4,0.175721699
4,5,0.119176433
4,6,0.20871343
4,7,0.144285001
4,3,0.086501141
4,2,0.147887725
5,0,0.13067129
5,4,0.014984923
5,5,0.215582156
5,6,0.210134541
5,7,0.163226237
5,3,0.106412686
5,2,0.158988167
6,0,0.130352771
6,4,0.014741145
6,5,0.126502639
6,6,0.320559259
6,7,0.158641746
6,3,0.0846288
6,2,0.164573641
7,0,0.138024917
7,4,0.01494174
7,5,0.141126272
7,6,0.22398608
7,7,0.216641701
7,3,0.090624743
7,2,0.174654546
3,0,0.105379213
3,4,0.012968022
3,5,0.130984988
3,6,0.16538683
3,7,0.129530951
3,3,0.323538899
3,2,0.132211095
2,0,0.133198653
2,4,0.015098922
2,5,0.133896998
2,6,0.229412259
2,7,0.17175162
2,3,0.092416447
2,2,0.224225102
