Actual,Predicted,Confidence_normalized
0,0,0.190176937
0,4,0.018833878
0,5,0.153340034
0,6,0.200481874
0,7,0.183165601
0,3,0.076096916
0,2,0.177904761
4,0,0.162436817
4,4,0.130008485
4,5,0.158487971
4,6,0.164249099
4,7,0.170186947
4,3,0.066826026
4,2,0.147804655
5,0,0.150877968
5,4,0.01748704
5,5,0.202822823
5,6,0.177178501
5,7,0.180711791
5,3,0.106400818
5,2,0.164521058
6,0,0.124844428
6,4,0.014699036
6,5,0.117098277
6,6,0.37874982
6,7,0.146608728
6,3,0.061957335
6,2,0.156042375
7,0,0.155708368
7,4,0.016305405
7,5,0.157259452
7,6,0.190466983
7,7,0.227919356
7,3,0.064966701
7,2,0.187373736
3,0,0.102039648
3,4,0.014384184
3,5,0.147936546
3,6,0.138339755
3,7,0.132554268
3,3,0.339395949
3,2,0.125349649
2,0,0.145541093
2,4,0.016046306
2,5,0.145826554
2,6,0.190264455
2,7,0.187344627
2,3,0.071169847
2,2,0.243807117
