Actual,Predicted,Confidence_normalized,imgUrl
7,5,0.007373363
6,5,0.010641272,
2,6,0.011100899,
4,3,0.011608452,
0,5,0.01252124,
2,3,0.012650853,
1,5,0.015118788,
3,7,0.015121432,
7,3,0.015459459,
0,4,0.01563514,
5,7,0.016674732,
5,4,0.016681497,
1,4,0.016789129,
5,6,0.017256497,
3,5,0.017385797,
7,2,0.018095904,
3,4,0.019192392,
2,4,0.019639656,
6,2,0.020823561,
5,2,0.027477513,
2,5,0.027755639,
2,1,0.028309248,
4,1,0.0295705,
0,3,0.030410056,
3,2,0.031067408,
6,3,0.031246785,
5,3,0.031316259,
5,1,0.031805983,
0,7,0.032957722,
1,7,0.033458228,
0,2,0.034156342,
0,6,0.035412915,
6,4,0.037168016,
4,2,0.037686363,
3,6,0.038150698,
7,6,0.039498269,
1,3,0.04015971,
1,2,0.040777015,
7,1,0.040840696,
7,4,0.04097979,
6,7,0.044900376,
0,1,0.045314407,
3,1,0.052982844,
4,5,0.057066402,
4,6,0.062217017,
5,0,0.064609246,
4,7,0.06481293,
1,6,0.081709983,
2,7,0.102843438,
7,0,0.133650878,
3,0,0.135971659,
2,2,0.14355845,
6,1,0.171500324,
6,6,0.213934002,
4,4,0.299832647,
1,1,0.34074231,
1,0,0.431244836,
4,0,0.437205688,
6,0,0.469785664,
2,0,0.654141818,
3,3,0.690127769,
7,7,0.704101641,
0,0,0.793592179,
5,5,0.794178273,
